,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
77,55,1,2,3,2,91,2,2,5,5,349,1,-1,0,1,2
78,49,1,2,3,2,0,1,1,5,5,272,1,-1,0,1,2
79,55,1,2,3,1,1,1,2,5,5,208,1,-1,0,1,2
80,45,2,3,3,2,206,1,2,5,5,193,1,-1,0,1,2
81,47,1,2,3,2,164,2,2,5,5,212,1,-1,0,1,2
82,42,11,3,3,2,690,1,2,5,5,20,1,-1,0,1,2
83,59,2,1,3,2,2343,1,2,5,5,1042,1,-1,0,1,1
84,46,9,1,4,2,137,1,1,5,5,246,1,-1,0,1,2
85,51,8,1,2,2,173,1,2,5,5,529,2,-1,0,1,2
86,56,2,1,3,2,45,2,2,5,5,1467,1,-1,0,1,1
87,41,11,1,3,2,1270,1,2,5,5,1389,1,-1,0,1,1
88,46,4,2,3,2,16,1,1,5,5,188,2,-1,0,1,2
89,57,10,1,3,2,486,1,2,5,5,180,2,-1,0,1,2
90,42,4,3,3,2,50,2,2,5,5,48,1,-1,0,1,2
91,30,11,1,3,2,152,1,1,5,5,213,2,-1,0,1,2
92,60,2,1,3,2,290,1,2,5,5,583,1,-1,0,1,2
93,60,8,1,1,2,54,1,2,5,5,221,1,-1,0,1,2
94,57,6,2,3,2,-37,2,2,5,5,173,1,-1,0,1,2
95,36,4,1,4,2,101,1,1,5,5,426,1,-1,0,1,2
96,55,8,1,3,2,383,2,2,5,5,287,1,-1,0,1,2
97,60,10,1,4,2,81,1,2,5,5,101,1,-1,0,1,2
98,39,11,1,3,2,0,1,2,5,5,203,1,-1,0,1,2
99,46,4,1,4,2,229,1,2,5,5,197,1,-1,0,1,2
100,44,8,1,3,2,-674,1,2,5,5,257,1,-1,0,1,2
101,53,8,1,2,2,90,2,2,5,5,124,1,-1,0,1,2
102,52,8,1,2,2,128,1,2,5,5,229,1,-1,0,1,2
103,59,8,1,2,2,179,1,2,5,5,55,3,-1,0,1,2
104,27,11,3,4,2,0,1,2,5,5,400,1,-1,0,1,2
105,44,8,1,3,2,54,1,2,5,5,197,1,-1,0,1,2
106,47,11,1,4,2,151,1,2,5,5,190,1,-1,0,1,2
107,34,2,1,3,2,61,2,1,5,5,21,1,-1,0,1,2
108,59,10,3,3,2,30,1,2,5,5,514,1,-1,0,1,2
109,45,4,1,4,2,523,1,2,5,5,849,2,-1,0,1,2
110,29,1,2,3,2,31,1,2,5,5,194,1,-1,0,1,2
111,46,11,2,3,2,79,2,2,5,5,144,1,-1,0,1,2
112,56,9,1,2,2,-34,1,1,5,5,212,2,-1,0,1,2
113,36,8,1,2,2,448,1,2,5,5,286,1,-1,0,1,2
114,59,10,2,2,2,81,1,2,5,5,107,1,-1,0,1,2
115,44,8,1,3,2,144,1,2,5,5,247,2,-1,0,1,2
116,41,2,1,3,2,351,1,2,5,5,518,1,-1,0,1,2
117,33,4,3,4,2,-67,1,2,5,5,364,1,-1,0,1,2
118,59,4,2,4,2,262,2,2,5,5,178,1,-1,0,1,2
119,57,11,1,2,2,0,2,2,5,5,98,1,-1,0,1,2
120,56,11,2,1,2,56,1,2,5,5,439,1,-1,0,1,2
121,51,8,1,3,2,26,1,2,5,5,79,1,-1,0,1,2
122,34,2,1,1,2,3,1,2,5,5,120,3,-1,0,1,2
123,43,1,1,3,2,41,1,1,5,5,127,2,-1,0,1,2
124,52,11,1,4,2,7,2,1,5,5,175,1,-1,0,1,2
125,33,11,3,3,2,105,1,2,5,5,262,2,-1,0,1,2
126,29,2,3,3,2,818,1,1,5,5,61,1,-1,0,1,2
127,34,1,1,3,2,-16,1,1,5,5,78,1,-1,0,1,2
128,31,8,1,3,2,0,1,2,5,5,143,1,-1,0,1,2
129,55,1,1,3,2,2476,1,2,5,5,579,1,-1,0,1,1
130,55,4,1,1,2,1185,2,2,5,5,677,1,-1,0,1,2
131,32,2,3,3,2,217,1,2,5,5,345,1,-1,0,1,2
132,38,11,3,3,2,1685,1,2,5,5,185,1,-1,0,1,2
133,55,2,3,3,2,802,1,1,5,5,100,2,-1,0,1,2
134,28,3,3,4,2,0,1,2,5,5,125,2,-1,0,1,2
135,23,8,1,3,2,94,1,2,5,5,193,1,-1,0,1,2
136,32,11,3,3,2,0,1,2,5,5,136,1,-1,0,1,2
137,43,1,3,1,2,0,2,2,5,5,73,1,-1,0,1,2
138,32,8,1,3,2,517,1,2,5,5,528,1,-1,0,1,2
139,46,8,1,3,2,265,1,2,5,5,541,1,-1,0,1,2
140,53,5,2,2,2,947,1,2,5,5,163,1,-1,0,1,2
141,34,9,3,3,2,3,1,2,5,5,301,1,-1,0,1,2
142,57,3,1,4,2,42,2,2,5,5,46,1,-1,0,1,2
143,37,8,1,3,2,37,1,2,5,5,204,1,-1,0,1,2
144,59,8,1,3,2,57,1,2,5,5,98,1,-1,0,1,2
145,33,1,1,3,2,22,1,2,5,5,71,1,-1,0,1,2
146,56,8,2,2,2,8,1,2,5,5,157,2,-1,0,1,2
147,48,3,1,3,2,293,1,2,5,5,243,1,-1,0,1,2
148,43,1,1,2,2,3,1,2,5,5,186,2,-1,0,1,2
149,54,8,1,2,2,348,1,2,5,5,579,2,-1,0,1,2
150,51,8,1,1,2,-19,1,2,5,5,163,2,-1,0,1,2
151,26,7,3,3,2,0,1,2,5,5,610,2,-1,0,1,2
152,40,4,1,4,2,-4,1,2,5,5,2033,1,-1,0,1,2
153,39,4,1,3,2,18,1,2,5,5,85,1,-1,0,1,2
154,50,11,1,2,2,139,2,2,5,5,114,2,-1,0,1,2
155,41,1,1,3,2,0,1,2,5,5,114,2,-1,0,1,2
156,51,8,1,1,2,1883,1,2,5,5,57,1,-1,0,1,2
157,60,10,2,3,2,216,1,2,5,5,238,1,-1,0,1,2
158,52,8,1,3,2,782,1,2,5,5,93,3,-1,0,1,2
159,48,8,1,3,2,904,1,2,5,5,128,2,-1,0,1,2
160,48,1,1,1,2,1705,1,2,5,5,107,1,-1,0,1,2
161,39,11,3,4,2,47,1,2,5,5,181,1,-1,0,1,2
162,47,1,3,3,2,176,1,2,5,5,303,2,-1,0,1,2
163,40,8,1,3,2,1225,1,2,5,5,558,5,-1,0,1,2
164,45,11,1,3,2,86,1,2,5,5,270,1,-1,0,1,2
165,26,2,3,3,2,82,1,2,5,5,228,1,-1,0,1,2
166,52,4,1,4,2,271,1,2,5,5,99,1,-1,0,1,2
167,54,11,1,3,2,1378,1,2,5,5,240,1,-1,0,1,2
168,54,2,1,4,2,184,2,2,5,5,673,2,-1,0,1,1
169,50,8,1,2,2,0,2,2,5,5,233,3,-1,0,1,2
170,35,8,1,3,2,0,1,2,5,5,1056,1,-1,0,1,2
171,44,1,1,3,2,1357,1,1,5,5,250,1,-1,0,1,2
172,53,6,1,1,2,19,1,2,5,5,252,1,-1,0,1,2
173,35,10,3,2,2,434,2,2,5,5,138,1,-1,0,1,2
174,60,2,2,3,2,92,1,2,5,5,130,1,-1,0,1,2
175,53,2,2,3,2,1151,1,2,5,5,412,1,-1,0,1,2
176,48,3,1,3,2,41,1,2,5,5,179,2,-1,0,1,2
177,34,11,1,3,2,51,1,2,5,5,19,2,-1,0,1,2
178,54,1,1,3,2,214,1,2,5,5,458,2,-1,0,1,2
179,51,4,1,3,2,1161,1,2,5,5,717,1,-1,0,1,2
180,31,1,1,4,2,37,1,2,5,5,313,1,-1,0,1,2
181,35,11,2,3,2,787,1,2,5,5,683,2,-1,0,1,2
182,35,1,1,3,2,59,1,2,5,5,1077,1,-1,0,1,2
183,38,11,1,3,2,253,1,2,5,5,416,1,-1,0,1,2
184,36,2,1,4,2,211,1,2,5,5,146,2,-1,0,1,2
185,58,10,1,2,2,235,1,2,5,5,167,1,-1,0,1,2
186,40,1,2,1,2,4384,1,2,5,5,315,1,-1,0,1,2
187,54,4,1,3,2,4080,2,2,5,5,140,1,-1,0,1,2
188,34,8,3,3,2,53,1,1,5,5,346,1,-1,0,1,2
189,31,4,3,4,2,0,1,2,5,5,562,1,-1,0,1,2
190,51,10,1,3,2,2127,1,2,5,5,172,1,-1,0,1,2
191,33,4,1,4,2,377,1,2,5,5,217,1,-1,0,1,2
192,55,4,1,4,2,73,1,2,5,5,142,2,-1,0,1,2
193,42,2,1,3,2,445,1,2,5,5,67,1,-1,0,1,2
194,34,8,1,3,2,243,1,2,5,5,291,1,-1,0,1,2
195,33,8,3,3,2,307,1,2,5,5,309,2,-1,0,1,2
196,38,1,1,3,2,155,1,2,5,5,248,1,-1,0,1,2
197,50,11,2,4,2,173,2,1,5,5,98,1,-1,0,1,2
198,43,4,1,4,2,400,1,2,5,5,256,1,-1,0,1,2
199,61,8,2,2,2,1428,1,2,5,5,82,2,-1,0,1,2
200,47,2,1,3,2,219,1,2,5,5,577,1,-1,0,1,2
201,48,9,1,4,2,7,1,2,5,5,286,1,-1,0,1,2
202,44,8,1,3,2,575,1,2,5,5,477,1,-1,0,1,2
203,35,7,3,1,2,298,1,2,5,5,611,2,-1,0,1,2
204,35,1,1,3,2,0,1,2,5,5,471,1,-1,0,1,2
205,50,1,1,3,2,5699,1,2,5,5,381,2,-1,0,1,2
206,41,4,1,4,2,176,1,1,5,5,42,1,-1,0,1,2
207,41,4,1,4,2,517,1,2,5,5,251,1,-1,0,1,2
208,39,1,3,1,2,257,1,2,5,5,408,1,-1,0,1,2
209,42,10,1,3,2,56,1,2,5,5,215,1,-1,0,1,2
210,38,8,1,3,2,-390,1,2,5,5,287,1,-1,0,1,2
211,53,10,1,3,2,330,1,2,5,5,216,2,-1,0,1,2
212,59,5,2,2,2,195,2,2,5,5,366,2,-1,0,1,2
213,36,1,1,3,2,301,1,2,5,5,210,1,-1,0,1,2
214,54,8,1,2,2,-41,1,2,5,5,288,1,-1,0,1,2
215,40,11,1,4,2,483,1,2,5,5,168,1,-1,0,1,2
216,47,1,1,1,2,28,2,2,5,5,338,2,-1,0,1,2
217,53,3,1,1,2,13,2,2,5,5,410,3,-1,0,1,2
218,46,5,1,2,2,965,2,2,5,5,177,1,-1,0,1,2
219,39,4,1,4,2,378,1,1,5,5,127,2,-1,0,1,2
220,40,3,1,3,2,219,1,2,5,5,357,1,-1,0,1,2
221,28,8,1,2,2,324,1,2,5,5,175,1,-1,0,1,2
222,35,6,2,3,2,-69,1,2,5,5,300,1,-1,0,1,2
223,55,10,1,3,2,0,2,1,5,5,136,1,-1,0,1,2
224,43,11,2,1,2,205,1,2,5,5,1419,1,-1,0,1,2
225,48,8,1,2,2,278,1,2,5,5,125,2,-1,0,1,2
226,58,4,1,1,2,1065,1,2,5,5,213,3,-1,0,1,2
227,33,4,3,4,2,34,1,2,5,5,27,1,-1,0,1,2
228,36,8,1,1,2,1033,2,2,5,5,238,2,-1,0,1,2
229,53,1,2,3,2,1467,1,2,5,5,124,1,-1,0,1,2
230,47,8,1,2,2,-12,1,2,5,5,18,1,-1,0,1,2
231,31,1,1,3,2,388,1,2,5,5,730,2,-1,0,1,2
232,57,6,1,3,2,294,1,2,5,5,746,2,-1,0,1,2
233,53,8,1,1,2,1827,2,2,5,5,121,1,-1,0,1,2
234,55,8,1,2,2,627,1,2,5,5,247,1,-1,0,1,2
235,45,8,1,2,2,25,1,2,5,5,40,1,-1,0,1,2
236,53,2,2,3,2,315,1,2,5,5,181,2,-1,0,1,2
237,37,8,1,2,2,0,1,2,5,5,79,1,-1,0,1,2
238,44,2,2,3,2,66,1,2,5,5,206,1,-1,0,1,2
239,49,8,2,2,2,-9,1,1,5,5,389,1,-1,0,1,2
240,46,11,1,3,2,349,1,1,5,5,127,1,-1,0,1,2
241,43,6,1,1,2,100,1,2,5,5,702,1,-1,0,1,2
242,38,2,1,3,2,0,2,2,5,5,151,1,-1,0,1,2
243,43,11,1,3,2,434,1,2,5,5,117,1,-1,0,1,2
244,49,4,1,4,2,3237,1,2,5,5,232,3,-1,0,1,2
245,42,4,1,1,2,275,2,2,5,5,408,2,-1,0,1,2
246,22,8,3,3,2,0,1,2,5,5,179,2,-1,0,1,2
247,40,4,1,4,2,207,1,2,5,5,39,1,-1,0,1,2
248,39,8,1,3,2,483,1,2,5,5,282,1,-1,0,1,2
249,51,1,1,3,2,2248,1,2,5,5,714,2,-1,0,1,2
250,49,2,1,3,2,428,1,2,5,5,50,1,-1,0,1,2
251,53,8,1,3,2,0,1,1,5,5,181,1,-1,0,1,2
252,34,1,3,3,2,0,1,2,5,5,142,1,-1,0,1,2
253,33,11,2,3,2,140,1,2,5,5,227,1,-1,0,1,2
254,50,4,3,4,2,297,1,2,5,5,119,1,-1,0,1,2
255,39,8,1,2,2,279,1,2,5,5,361,1,-1,0,1,2
256,59,6,2,3,2,901,1,2,5,5,73,3,-1,0,1,2
257,30,11,3,3,2,2573,1,2,5,5,67,2,-1,0,1,2
258,36,1,1,3,2,143,1,1,5,5,350,1,-1,0,1,2
259,40,8,1,3,2,475,1,2,5,5,332,2,-1,0,1,2
260,53,8,1,3,2,70,1,2,5,5,611,2,-1,0,1,2
261,34,4,3,4,2,318,1,2,5,5,113,2,-1,0,1,2
262,37,11,1,3,2,275,1,2,5,5,132,1,-1,0,1,2
263,42,4,2,4,2,742,1,2,5,5,58,3,-1,0,1,2
264,41,6,1,2,2,236,1,2,5,5,151,1,-1,0,1,2
265,30,7,3,4,2,25,1,2,5,5,89,2,-1,0,1,2
266,37,4,3,4,2,600,1,2,5,5,152,1,-1,0,1,2
267,39,2,2,3,2,-349,1,2,5,5,611,2,-1,0,1,2
268,41,8,1,2,2,183,1,1,5,5,110,2,-1,0,1,2
269,40,8,1,2,2,0,1,2,5,5,463,1,-1,0,1,2
270,42,4,3,4,2,0,1,1,5,5,562,2,-1,0,1,1
271,40,8,2,2,2,0,1,2,5,5,962,1,-1,0,1,2
272,57,11,1,3,2,1078,1,2,5,5,10,4,-1,0,1,2
273,56,6,2,3,2,155,2,2,5,5,118,3,-1,0,1,2
274,37,2,1,3,2,190,1,2,5,5,92,2,-1,0,1,2
275,59,10,1,3,2,319,1,2,5,5,143,3,-1,0,1,2
276,39,1,2,3,2,-185,1,2,5,5,189,3,-1,0,1,2
277,49,1,1,3,2,47,2,2,5,5,234,2,-1,0,1,2
278,38,1,3,3,2,570,1,2,5,5,75,2,-1,0,1,2
279,36,9,1,4,2,19,2,2,5,5,189,2,-1,0,1,2
280,50,8,1,2,2,61,1,2,5,5,621,3,-1,0,1,2
281,41,2,1,3,2,-62,1,1,5,5,55,2,-1,0,1,2
282,54,11,1,4,2,258,2,2,5,5,310,4,-1,0,1,2
283,58,8,1,2,2,76,1,2,5,5,156,2,-1,0,1,2
284,30,8,3,3,2,0,1,2,5,5,5,2,-1,0,1,2
285,33,2,3,3,2,352,1,2,5,5,225,2,-1,0,1,2
286,47,2,1,3,2,368,1,2,5,5,125,2,-1,0,1,2
287,50,11,3,4,2,339,1,2,5,5,2,3,-1,0,1,2
288,32,8,1,3,2,1331,1,2,5,5,286,2,-1,0,1,2
289,40,9,1,3,2,672,1,2,5,5,164,2,-1,0,1,2
290,37,4,1,4,2,58,1,2,5,5,98,2,-1,0,1,2
291,54,11,3,1,2,447,1,2,5,5,742,2,-1,0,1,2
292,24,7,3,3,2,423,1,2,5,5,226,3,-1,0,1,2
293,54,4,1,4,2,0,2,2,5,5,120,2,-1,0,1,2
294,34,11,1,3,2,19,1,2,5,5,362,4,-1,0,1,2
295,56,11,2,2,2,13,1,2,5,5,357,2,-1,0,1,2
296,31,8,3,3,2,3,1,2,5,5,200,2,-1,0,1,2
297,24,7,3,3,2,82,1,2,5,5,204,2,-1,0,1,2
298,42,8,2,2,2,28,1,2,5,5,126,3,-1,0,1,2
299,57,11,1,3,2,792,1,2,5,5,65,2,-1,0,1,2
300,42,8,1,1,2,408,1,2,5,5,107,2,-1,0,1,2
301,51,2,1,3,2,531,1,2,5,5,267,2,-1,0,1,2
302,57,10,1,3,2,211,1,2,5,5,248,2,-1,0,1,2
303,36,1,3,3,2,62,1,2,5,5,215,2,-1,0,1,2
304,53,1,1,1,2,257,1,2,5,5,209,2,-1,0,1,2
305,50,11,1,3,2,1234,1,2,5,5,205,2,-1,0,1,2
306,54,4,1,4,2,313,1,2,5,5,83,2,-1,0,1,2
307,55,8,1,3,2,89,1,2,5,5,106,3,-1,0,1,2
308,44,8,1,3,2,129,1,1,5,5,189,2,-1,0,1,2
309,43,4,1,1,2,0,1,2,5,5,105,2,-1,0,1,2
310,56,2,1,3,2,353,1,2,5,5,106,2,-1,0,1,2
311,54,11,1,1,2,851,1,2,5,5,108,2,-1,0,1,2
312,55,1,2,2,2,96,1,1,5,5,311,2,-1,0,1,2
313,37,1,2,3,2,398,1,1,5,5,214,2,-1,0,1,2
314,33,2,3,4,2,193,2,2,5,5,132,2,-1,0,1,2
315,46,2,1,3,2,-358,1,2,5,5,358,2,-1,0,1,2
316,36,8,1,3,2,539,1,1,5,5,453,2,-1,0,1,2
317,51,11,3,3,2,0,1,2,5,5,364,2,-1,0,1,2
318,40,10,3,2,2,0,2,2,5,5,136,2,-1,0,1,2
319,42,8,1,3,2,490,1,2,5,5,386,2,-1,0,1,2
320,51,8,1,3,2,0,1,2,5,5,173,2,-1,0,1,2
321,49,8,1,1,2,403,1,2,5,5,241,2,-1,0,1,2
322,48,4,1,3,2,161,1,2,5,5,224,3,-1,0,1,2
323,32,11,2,4,2,2558,2,2,5,5,148,2,-1,0,1,2
324,31,2,3,3,2,98,1,2,5,5,196,2,-1,0,1,2
325,55,4,3,4,2,115,2,2,5,5,111,4,-1,0,1,2
326,40,8,3,3,2,436,1,2,5,5,231,3,-1,0,1,2
327,47,11,1,4,2,831,1,2,5,5,316,3,-1,0,1,2
328,57,11,1,1,2,206,1,2,5,5,216,3,-1,0,1,2
329,41,8,1,3,2,290,1,2,5,5,240,2,-1,0,1,2
330,48,8,1,3,2,1,2,2,5,5,669,3,-1,0,1,2
331,42,8,1,1,2,57,1,2,5,5,425,2,-1,0,1,2
332,30,8,3,3,2,-457,1,2,5,5,143,2,-1,0,1,2
333,58,4,3,4,2,1387,1,2,5,5,174,5,-1,0,1,2
334,45,4,2,4,2,24598,1,2,5,5,313,3,-1,0,1,2
335,49,8,1,3,2,30,1,2,5,5,135,4,-1,0,1,2
336,42,2,3,3,2,1022,1,2,5,5,146,2,-1,0,1,2
337,53,11,1,3,2,56,1,1,5,5,152,2,-1,0,1,2
338,51,2,3,3,1,-2,2,2,5,5,402,3,-1,0,1,2
339,32,1,3,3,2,121,1,2,5,5,213,2,-1,0,1,2
340,41,8,3,3,2,842,1,2,5,5,144,3,-1,0,1,2
341,43,4,2,3,2,693,1,2,5,5,124,3,-1,0,1,2
342,40,8,2,3,2,-333,1,2,5,5,183,2,-1,0,1,2
343,50,8,1,2,2,1533,1,2,5,5,325,2,-1,0,1,2
344,34,4,1,4,2,46,1,2,5,5,39,4,-1,0,1,2
345,53,1,1,1,2,18,2,2,5,5,503,2,-1,0,1,2
346,45,11,1,3,2,44,1,2,5,5,95,4,-1,0,1,2
347,39,8,1,2,2,-100,1,2,5,5,680,2,-1,0,1,2
348,44,1,1,4,2,510,1,2,5,5,421,4,-1,0,1,2
349,55,4,1,4,2,685,1,2,5,5,174,3,-1,0,1,2
350,46,4,3,4,2,187,1,2,5,5,113,2,-1,0,1,2
351,45,8,1,3,2,66,1,2,5,5,808,2,-1,0,1,2
352,34,2,1,3,2,560,1,2,5,5,198,3,-1,0,1,2
353,36,8,1,3,2,0,1,2,5,5,195,2,-1,0,1,2
354,59,1,2,1,2,27,2,2,5,5,347,3,-1,0,1,2
355,31,2,3,3,2,12,1,2,5,5,208,2,-1,0,1,2
356,44,8,3,3,2,34,1,2,5,5,404,4,-1,0,1,2
357,33,6,3,4,2,1068,1,2,5,5,396,2,-1,0,1,2
358,40,8,1,3,2,211,1,2,5,5,216,4,-1,0,1,2
359,46,2,3,4,2,377,1,2,5,5,98,2,-1,0,1,2
360,48,4,1,4,2,263,1,2,5,5,350,2,-1,0,1,2
361,42,1,1,3,2,1263,1,2,6,5,114,2,-1,0,1,2
362,27,1,1,3,2,8,1,2,6,5,88,3,-1,0,1,2
363,48,2,1,3,2,126,1,1,6,5,379,2,-1,0,1,2
364,59,2,1,3,2,230,1,2,6,5,190,3,-1,0,1,2
365,46,11,1,4,2,841,1,2,6,5,158,1,-1,0,1,2
366,38,2,2,3,2,308,1,2,6,5,102,1,-1,0,1,2
367,43,4,2,4,2,1,1,2,6,5,306,1,-1,0,1,2
368,38,2,2,4,2,86,1,2,6,5,218,1,-1,0,1,2
369,23,7,3,3,2,157,1,2,6,5,54,1,-1,0,1,2
370,34,1,1,3,2,22,1,2,6,5,344,1,-1,0,1,2
371,38,2,1,3,2,46,1,1,6,5,195,1,-1,0,1,2
372,37,8,1,3,2,1293,2,2,6,5,652,1,-1,0,1,2
373,25,2,3,3,2,122,1,2,6,5,286,1,-1,0,1,2
374,48,8,1,1,2,131,1,2,6,5,189,1,-1,0,1,2
375,49,8,3,3,2,143,1,2,6,5,83,1,-1,0,1,2
376,38,2,3,3,2,393,2,2,6,5,184,2,-1,0,1,2
377,43,8,1,2,2,98,1,2,6,5,235,1,-1,0,1,2
378,33,4,1,4,2,0,1,2,6,5,290,1,-1,0,1,2
379,55,8,1,3,2,224,1,2,6,5,232,1,-1,0,1,2
380,38,8,1,3,2,757,1,2,6,5,133,1,-1,0,1,2
381,49,1,1,3,2,245,1,1,6,5,318,1,-1,0,1,2
382,40,4,1,3,2,8486,2,2,6,5,260,3,-1,0,1,2
383,43,2,1,1,2,350,2,2,6,5,437,1,-1,0,1,2
384,38,8,1,3,2,20,1,2,6,5,402,1,-1,0,1,2
385,58,1,1,3,2,1667,1,1,6,5,85,1,-1,0,1,2
386,57,11,1,1,2,345,1,2,6,5,125,1,-1,0,1,2
387,32,3,1,3,2,10,1,2,6,5,501,4,-1,0,1,2
388,56,4,1,4,2,830,1,1,6,5,1201,1,-1,0,1,1
389,58,8,2,1,2,29,1,2,6,5,253,1,-1,0,1,2
390,60,10,2,3,2,545,1,2,6,5,1030,1,-1,0,1,1
391,37,11,1,4,2,8730,1,2,6,5,149,1,-1,0,1,2
392,46,11,2,4,2,477,1,2,6,5,114,1,-1,0,1,2
393,27,2,1,3,2,4,1,2,6,5,243,1,-1,0,1,2
